Domain Based Agreement Rate (0 15);

;Domains;
Agents;Domain5;Domain6;Domain7;Domain9;Domain10;Domain11;Domain12;Domain13;Domain14;Domain21;Domain22;Domain23;Domain25;Domain26;Domain27;
AgentKN;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;
RubickAgent;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;
SAGA;1.0;0.95454544;0.95454544;0.95454544;1.0;1.0;0.95454544;0.95454544;1.0;0.95454544;0.95454544;1.0;1.0;1.0;1.0;
Boulware;0.8636364;0.8636364;0.8181818;0.90909094;0.95454544;1.0;0.8181818;0.8181818;0.95454544;0.8181818;0.8181818;1.0;0.95454544;0.95454544;0.95454544;
Conceder;0.8181818;0.8181818;0.8181818;0.8636364;0.95454544;0.95454544;0.8181818;0.8181818;0.95454544;0.8181818;0.8181818;1.0;0.90909094;0.95454544;0.90909094;
Hybrid;0.54545456;0.45454547;0.5;0.54545456;0.5;0.6818182;0.45454547;0.45454547;0.54545456;0.5;0.8181818;0.8181818;0.8181818;0.8181818;0.8181818;
PonPoko;0.54545456;0.45454547;0.45454547;0.5;0.45454547;0.5;0.45454547;0.5;0.45454547;0.45454547;0.8181818;0.8636364;0.77272725;0.8181818;0.59090906;
MiCRO;0.59090906;0.45454547;0.5;0.54545456;0.45454547;0.54545456;0.45454547;0.45454547;0.45454547;0.5;0.8181818;0.8181818;0.6363636;0.8181818;0.54545456;
YXAgent;0.45454547;0.45454547;0.45454547;0.45454547;0.54545456;0.54545456;0.45454547;0.4090909;0.5;0.45454547;0.8181818;0.8181818;0.59090906;0.8181818;0.59090906;
Kawaii;0.45454547;0.45454547;0.45454547;0.45454547;0.45454547;0.45454547;0.45454547;0.45454547;0.45454547;0.45454547;0.90909094;0.8181818;0.6363636;0.8636364;0.54545456;
Atlas3;0.36363637;0.3181818;0.27272728;0.45454547;0.4090909;0.4090909;0.27272728;0.3181818;0.54545456;0.27272728;0.36363637;0.5;0.4090909;0.4090909;0.3181818;
CUHKAgent;0.27272728;0.22727273;0.22727273;0.22727273;0.45454547;0.45454547;0.22727273;0.27272728;0.59090906;0.22727273;0.22727273;0.45454547;0.36363637;0.45454547;0.45454547;
