Domain Based Individual Utility (15 27);

;Domains;
Agents;Domain28;Domain29;Domain30;Domain37;Domain38;Domain39;Domain41;Domain42;Domain43;Domain44;Domain45;Domain46;
CUHKAgent;0.8172682;0.82026815;0.7902455;0.85447276;0.85647726;0.82511365;0.81101364;0.82135;0.8137364;0.8176;0.8153727;0.8153909;
Kawaii;0.7839636;0.7617;0.7654955;0.81984544;0.84979093;0.69830453;0.7509636;0.77609545;0.8241636;0.78929543;0.76805454;0.8179;
YXAgent;0.76639545;0.8021727;0.75812274;0.8162364;0.8175727;0.7455136;0.76136816;0.79539543;0.7901591;0.77916366;0.7334682;0.79911363;
PonPoko;0.77546364;0.7628773;0.7720227;0.7414727;0.8241864;0.7236591;0.7560545;0.75325;0.76465;0.7763364;0.751;0.80778635;
MiCRO;0.7092182;0.73725;0.7867909;0.70602274;0.7837091;0.6635091;0.8000182;0.7178091;0.77015907;0.8375773;0.7964727;0.77924544;
Atlas3;0.64805907;0.7478727;0.71525;0.72783184;0.7584182;0.6522955;0.7720409;0.7082318;0.7656182;0.70199543;0.69496816;0.7862682;
Hybrid;0.69230455;0.7155318;0.7195682;0.7715409;0.7262545;0.69526815;0.70190454;0.68765;0.73051363;0.7373773;0.69676816;0.7221818;
AgentKN;0.6908409;0.7387318;0.72271365;0.7103136;0.7325182;0.63136816;0.72278637;0.69653636;0.74795455;0.7657818;0.68459547;0.72381365;
SAGA;0.69935;0.7321636;0.7387591;0.72369546;0.7589773;0.60626364;0.7165591;0.67267275;0.73719543;0.76730907;0.63566816;0.73584545;
Boulware;0.6250273;0.6664818;0.6627909;0.64315;0.6624454;0.5665182;0.65857273;0.6245091;0.66339093;0.6911273;0.6216818;0.6601091;
RubickAgent;0.55538636;0.6418909;0.6315455;0.67733634;0.6683818;0.59981364;0.66729546;0.6382955;0.62491363;0.66575;0.6748409;0.65151364;
Conceder;0.59485453;0.6144091;0.6118909;0.60357726;0.6361318;0.53622276;0.6263318;0.60278636;0.6175591;0.65294546;0.5912091;0.61792725;
