Domain Based Opponent Utility (0 15);

;Domains;
Agents;Domain5;Domain6;Domain7;Domain9;Domain10;Domain11;Domain12;Domain13;Domain14;Domain21;Domain22;Domain23;Domain25;Domain26;Domain27;
Conceder;0.8543864;0.84245455;0.85614544;0.8631818;0.8810909;0.86245;0.83873636;0.8208227;0.86245453;0.8396;0.89573634;0.91650456;0.90995;0.9086364;0.87290454;
Boulware;0.8286045;0.82118183;0.83071816;0.8354;0.8550909;0.8563045;0.825;0.8047591;0.8297273;0.8135;0.88674545;0.89754546;0.88589543;0.88639545;0.8420454;
AgentKN;0.7846136;0.78163636;0.79532725;0.8052727;0.78763634;0.79100907;0.7827273;0.78531367;0.77345455;0.7764909;0.8362409;0.8592273;0.83483183;0.8290409;0.8118909;
SAGA;0.76819545;0.7340909;0.7444182;0.7560818;0.774;0.77048635;0.72815454;0.75277275;0.7351818;0.7634136;0.8160909;0.80653185;0.8040682;0.8003591;0.7697818;
Hybrid;0.6345591;0.7099091;0.68654543;0.6335591;0.688;0.6837909;0.67467725;0.67196816;0.67809093;0.6743409;0.87772727;0.86893183;0.8622364;0.8031045;0.78255;
RubickAgent;0.68173635;0.68472725;0.6837909;0.6917273;0.67654544;0.6673318;0.6803682;0.66420454;0.6330909;0.66787726;0.74015456;0.7645818;0.72879094;0.7416;0.68783635;
MiCRO;0.6707682;0.5919091;0.6140091;0.62844545;0.5959091;0.635;0.6013909;0.5982682;0.5689091;0.64155453;0.78058636;0.76964545;0.71436363;0.7748227;0.6917591;
PonPoko;0.56894094;0.62036365;0.61475456;0.6170909;0.60236365;0.6291773;0.5688364;0.5809409;0.5953636;0.5974682;0.85126364;0.7546;0.72294545;0.79246366;0.6897454;
YXAgent;0.56334543;0.596;0.57905453;0.6006727;0.63545454;0.5927182;0.5535182;0.54182726;0.56527275;0.5521273;0.8742773;0.7871818;0.6902182;0.76766366;0.69409543;
Kawaii;0.59425455;0.58036363;0.6237091;0.62746364;0.59236366;0.61271816;0.5832;0.5646091;0.5674545;0.5709864;0.76281816;0.7643045;0.6731;0.75589544;0.6600864;
Atlas3;0.66051364;0.6367273;0.6265727;0.60905;0.56218183;0.6035;0.62354094;0.5766182;0.62772727;0.62524545;0.6943318;0.67357725;0.64919543;0.6639182;0.5910091;
CUHKAgent;0.38095453;0.39463636;0.4094909;0.4041818;0.5535455;0.5629909;0.37426817;0.44902274;0.58854544;0.38003182;0.3973227;0.5446909;0.47605;0.6446364;0.5792909;
