Domain Based Social Welfare (0 15);

;Domains;
Agents;Domain5;Domain6;Domain7;Domain9;Domain10;Domain11;Domain12;Domain13;Domain14;Domain21;Domain22;Domain23;Domain25;Domain26;Domain27;
AgentKN;1.4187454;1.4223636;1.4293636;1.4554546;1.477091;1.4686863;1.37715;1.3980091;1.4082727;1.3781182;1.6326636;1.64305;1.5825409;1.61385;1.5260955;
Boulware;1.3949409;1.3939091;1.415109;1.4428;1.4556364;1.4621273;1.3506181;1.3690819;1.3944546;1.3563045;1.58345;1.6219636;1.56505;1.5851773;1.4950591;
Conceder;1.3861;1.3791819;1.4098455;1.4263636;1.4458182;1.4274955;1.3573728;1.3501046;1.3936363;1.3466046;1.5597273;1.5900409;1.5390909;1.5817045;1.4713409;
SAGA;1.3597273;1.3815454;1.3937364;1.4010727;1.4243636;1.4096136;1.3246;1.3375864;1.3557273;1.3427682;1.6249228;1.6262182;1.5302818;1.5855045;1.4787091;
Hybrid;1.3205;1.3625455;1.3461819;1.3013;1.3250909;1.3676182;1.3431681;1.3271409;1.3153636;1.3714228;1.6195046;1.6186545;1.5800409;1.5674682;1.4923046;
MiCRO;1.3602864;1.3271818;1.3761909;1.3678;1.33;1.3787181;1.2967955;1.3000137;1.3297273;1.3544773;1.62925;1.6005273;1.5143591;1.6148955;1.4429681;
PonPoko;1.3305409;1.3327273;1.3239;1.3354546;1.3429091;1.39275;1.2972727;1.28615;1.3212727;1.3376727;1.6521909;1.5664591;1.5105864;1.6129863;1.454009;
YXAgent;1.3054409;1.3273636;1.3360363;1.3271636;1.3909091;1.3435318;1.2982;1.2861909;1.3001819;1.270109;1.6770682;1.5948546;1.4480864;1.6179591;1.4814637;
Kawaii;1.3171272;1.3096364;1.3381909;1.3422;1.3192728;1.3509773;1.2993591;1.2818727;1.3162727;1.3036681;1.62115;1.607541;1.4393;1.6175681;1.4208137;
Atlas3;1.3078182;1.2513636;1.2810727;1.2957363;1.2734545;1.2878546;1.2523955;1.2328364;1.3401818;1.2685227;1.4681273;1.4567909;1.4072591;1.444341;1.3154727;
RubickAgent;1.2812909;1.2919091;1.2728182;1.2672727;1.273091;1.2756273;1.2604773;1.2434864;1.2701818;1.2558091;1.4939773;1.4680136;1.4452727;1.3950454;1.3574136;
CUHKAgent;1.1992272;1.2082727;1.2066272;1.1816363;1.3507273;1.3699546;1.2114273;1.2097818;1.3052727;1.2197955;1.2645591;1.4205319;1.3414227;1.5005727;1.4103409;
