Opponent Based Agreement Time;

;Opponent;
Agent;Atlas3;RubickAgent;SAGA;PonPoko;Boulware;Conceder;MiCRO;Kawaii;AgentKN;CUHKAgent;YXAgent;Hybrid;
Atlas3;nan;0.9951037;0.9221537;0.96716666;0.90483916;0.8083308;nan;0.85956;0.9105833;0.9502571;0.91835;0.7321;
RubickAgent;0.9951037;nan;0.99539816;0.99883705;0.92966294;0.9037222;0.9991;0.9991;0.94000554;0.9991;0.9990722;0.9981148;
SAGA;0.9221537;0.99539816;nan;0.9609241;0.80645;0.74933517;0.96428335;0.9582389;0.87918335;0.99361664;0.9731434;0.8971463;
PonPoko;0.96716666;0.99883705;0.9609241;nan;0.68563336;0.5078093;0.699455;0.92896426;0.88799447;0.98003334;0.66557336;0.49125314;
Boulware;0.90483916;0.92966294;0.80645;0.68563336;nan;0.39902222;0.53659075;0.75294447;0.7479278;0.9044654;0.5842722;0.4390926;
Conceder;0.8083308;0.9037222;0.74933517;0.5078093;0.39902222;nan;0.31712407;0.66312224;0.70267224;0.7943308;0.36870185;0.26249075;
MiCRO;nan;0.9991;0.96428335;0.699455;0.53659075;0.31712407;nan;0.9218625;0.83470184;nan;0.1067625;0.3354054;
Kawaii;0.85956;0.9991;0.9582389;0.92896426;0.75294447;0.66312224;0.9218625;nan;0.88442963;0.9833;0.8692909;0.758668;
AgentKN;0.9105833;0.94000554;0.87918335;0.88799447;0.7479278;0.70267224;0.83470184;0.88442963;nan;0.9717389;0.8705759;0.8164204;
CUHKAgent;0.9502571;0.9991;0.99361664;0.98003334;0.9044654;0.7943308;nan;0.9833;0.9717389;nan;0.98003334;0.98008;
YXAgent;0.91835;0.9990722;0.9731434;0.66557336;0.5842722;0.36870185;0.1067625;0.8692909;0.8705759;0.98003334;nan;0.25269696;
Hybrid;0.7321;0.9981148;0.8971463;0.49125314;0.4390926;0.26249075;0.3354054;0.758668;0.8164204;0.98008;0.25269696;nan;
