Opponent Based Nash Distances;

;Opponent;
Agent;Conceder;Boulware;SAGA;Atlas3;AgentKN;RubickAgent;PonPoko;MiCRO;Kawaii;CUHKAgent;Hybrid;YXAgent;
Conceder;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
Boulware;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
SAGA;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
Atlas3;nan;nan;nan;nan;nan;nan;nan;0.33692437;nan;nan;nan;nan;
AgentKN;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
RubickAgent;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
PonPoko;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
MiCRO;nan;nan;nan;0.33692437;nan;nan;nan;nan;nan;0.49051607;nan;nan;
Kawaii;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
CUHKAgent;nan;nan;nan;nan;nan;nan;nan;0.49051607;nan;nan;nan;nan;
Hybrid;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
YXAgent;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
