Opponent Based Social Welfare;

;Opponent;
Agent;AgentKN;Boulware;Conceder;SAGA;Hybrid;MiCRO;PonPoko;YXAgent;Kawaii;Atlas3;RubickAgent;CUHKAgent;
AgentKN;nan;1.5167259;1.4727167;1.520813;1.5562352;1.5568445;1.5204;1.5466111;1.5379388;1.540213;1.4226222;1.3409333;
Boulware;1.5167259;nan;1.5480148;1.4812056;1.5544074;1.555563;1.5264833;1.5478315;1.5128481;1.3055925;1.423213;1.3068093;
Conceder;1.4727167;1.5480148;nan;1.4461297;1.5588629;1.5555315;1.5257444;1.5494574;1.4842612;1.2544315;1.4037889;1.3066223;
SAGA;1.520813;1.4812056;1.4461297;nan;1.5230612;1.4824963;1.5095907;1.4336852;1.496326;1.5064685;1.3550797;1.344976;
Hybrid;1.5562352;1.5544074;1.5588629;1.5230612;nan;1.4908148;1.4561778;1.4547852;1.4224852;1.314687;1.2861482;1.3174722;
MiCRO;1.5568445;1.555563;1.5555315;1.4824963;1.4908148;nan;1.4178407;1.3831981;1.3895704;1.3049778;1.3240926;1.3105704;
PonPoko;1.5204;1.5264833;1.5257444;1.5095907;1.4561778;1.4178407;nan;1.3789519;1.3942555;1.3084074;1.306026;1.3211462;
YXAgent;1.5466111;1.5478315;1.5494574;1.4336852;1.4547852;1.3831981;1.3789519;nan;1.3632926;1.3337203;1.3338592;1.3313185;
Kawaii;1.5379388;1.5128481;1.4842612;1.496326;1.4224852;1.3895704;1.3942555;1.3632926;nan;1.3190814;1.2616907;1.3249778;
Atlas3;1.540213;1.3055925;1.2544315;1.5064685;1.314687;1.3049778;1.3084074;1.3337203;1.3190814;nan;1.2605;1.2564555;
RubickAgent;1.4226222;1.423213;1.4037889;1.3550797;1.2861482;1.3240926;1.306026;1.3338592;1.2616907;1.2605;nan;1.3157463;
CUHKAgent;1.3409333;1.3068093;1.3066223;1.344976;1.3174722;1.3105704;1.3211462;1.3313185;1.3249778;1.2564555;1.3157463;nan;
